"","b1.LT.ctrl","b1.LI.ctrl","b1.TI.ctrl","b1.LT.ko","b1.LI.ko","b1.TI.ko","b2.LT.ctrl","b2.LI.ctrl","b2.TI.ctrl","b2.LT.ko","b2.LI.ko","b2.TI.ko"
"Egr4",-2.53485158413179,-1.88703270354906,0.647818880582732,-1.9332186725176,-1.22511904084207,0.708099631675528,-1.52189270223336,-0.371484112442469,1.15040858979089,-0.873696548843965,-0.418105383388969,0.455591165454996
"Fosb",-0.752713811928545,-0.584728515955498,0.167985295973047,-0.0468587146061314,-0.488557209706122,-0.441698495099991,-0.297522620390122,-0.113651893618431,0.183870726771691,0.378294286672885,0.40990914284856,0.0316148561756746
"Gm17024",-1.94733972123047,-2.00126791850309,-0.0539281972726201,0.352850213972232,-0.771234359623382,-1.12408457359561,-1.30615429816931,-1.11971003001597,0.186444268153338,-0.831137796640236,-0.671516848768822,0.159620947871413
"Fos",-0.0253415690167751,0.0353984984772654,0.0607400674940406,-0.194371011483238,-0.395948344325271,-0.201577332842033,0.16739867926966,-0.0857261872778202,-0.25312486654748,0.695994879350015,0.740096034966739,0.044101155616725
"Rgs1",1.39545715798104,1.86692947005393,0.471472312072891,1.19617121184907,1.25351919655777,0.0573479847086978,0.760824984533151,0.554226384095016,-0.206598600438135,1.33496877898728,0.529554009637225,-0.805414769350056
"Atf3",-0.79873573738373,-0.40787267353479,0.390863063848939,-0.769210666230276,-0.558680450813794,0.210530215416482,-0.277987159161269,0.158238582649003,0.436225741810272,0.169632185861331,0.212272015836307,0.0426398299749768
"Egr1",-0.323622489262511,-0.32498745435699,-0.00136496509447883,-0.191486289566362,-0.290801485383806,-0.0993151958174447,-0.224608031348102,-0.346069191146625,-0.121461159798523,0.208135246226966,0.141758427121875,-0.0663768191050906
"Nr4a1",-0.696420408577921,-0.495224903912947,0.201195504664974,-0.46185580608783,-0.493652838145181,-0.0317970320573509,-0.248323321430928,-0.269776792067604,-0.0214534706366756,0.0555584113572616,0.0668976369058906,0.0113392255486292
"Zfp36",-0.942462574325269,-0.823450590272089,0.11901198405318,-0.868712800095529,-0.763403899193451,0.105308900902078,-0.639816281876999,-0.159198269254846,0.480618012622153,0.295138543471085,0.62635991032828,0.331221366857195
"Egr2",-0.250414998248115,-0.199422009930222,0.0509929883178934,0.11670634359551,-0.197142044734554,-0.313848388330065,-0.0268498721565799,-0.0717747682579338,-0.044924896101354,0.0877748510068443,0.263454481600586,0.175679630593742
"Ppp1r15a",-0.598319374263846,-0.372266418831544,0.226052955432302,-0.475878296197821,-0.305698804623335,0.170179491574485,-0.144034972336661,0.163096576358465,0.307131548695126,0.106392071931767,0.297708637428471,0.191316565496705
"Frat2",0.337917443105742,-0.024702159534058,-0.3626196026398,-0.217444529835972,-0.228073628962492,-0.0106290991265196,0.773989493772239,0.0375215261757204,-0.736467967596519,0.370965199718915,0.44637351954205,0.0754083198231352
"Egr3",-0.360669886371657,-0.279035796406032,0.0816340899656256,-0.134657228573052,-0.34661041183997,-0.211953183266918,0.303762124950382,0.557327913774093,0.253565788823711,-0.551497379410575,-0.0876208626168205,0.463876516793754
"Dusp1",-0.536802498548602,-0.327341221933303,0.209461276615299,-0.199122458480199,-0.187533535326231,0.0115889231539682,-0.0763465502090221,0.162707651486271,0.239054201695293,0.627936693049863,0.832502783810435,0.204566090760572
"Ier2",-0.86062110547395,-0.624622701011819,0.235998404462131,-0.923829203252006,-0.548564132868201,0.375265070383805,-0.548154945816397,-0.198156689730227,0.34999825608617,-0.124047879714253,0.146170454134186,0.270218333848439
"Tnfsf9",1.10974698233751,3.47699164603768,2.36724466370016,1.41770545168723,1.77154976821928,0.35384431653205,1.58101799664516,3.10199644919231,1.52097845254715,2.56213087518884,3.65460633990651,1.09247546471767
"Btg2",-0.964193196897207,-0.833499026913084,0.130694169984123,-0.272857878784055,-0.382574497608205,-0.10971661882415,-0.213549465085033,-0.011538755369812,0.202010709715222,-0.256682781868954,-0.188308376354967,0.0683744055139874
"Arc",0.304195667075064,0.461769164469799,0.157573497394735,0.277414273813439,-0.0384631587552685,-0.315877432568707,-0.783443975458692,-0.29984175017009,0.483602225288602,0.156982212778451,0.502762411727257,0.345780198948806
"Gdf15",0.824838060980206,0.692871640941561,-0.131966420038645,0.469493892499113,0.424309895181398,-0.0451839973177157,-0.0104279910707162,0.350313862711374,0.36074185378209,1.45709069232448,1.75434920143056,0.297258509106075
"Jun",-1.07630700561743,-0.919010383234126,0.1572966223833,-0.591030986131026,-0.564890080662761,0.0261409054682644,-0.171469953039934,-0.0554756047013316,0.115994348338602,-0.338313406018258,-0.243433595488715,0.0948798105295429
"Ier3",-0.656623301822197,-0.649033019470606,0.00759028235159124,-0.270114568892804,-0.273790131455887,-0.00367556256308314,-0.467186493008697,0.140084066931431,0.607270559940128,0.264313433893449,0.165848762838007,-0.0984646710554428
"Junb",-0.593943956310774,-0.341132598630984,0.25281135767979,-0.45174432952431,-0.282685676535588,0.169058652988722,0.12464787850282,0.285748590335562,0.161100711832742,0.476933507317265,0.531027239264659,0.054093731947394
"Dusp8",-0.532297089707856,-0.326729521261295,0.205567568446561,-0.51858000961097,-0.410387114097042,0.108192895513928,-0.482079978843632,0.124232600761603,0.606312579605234,-0.47575183540281,-0.233109143360896,0.242642692041915
"Cxcl1",-0.606432125575404,-0.717688140785479,-0.111256015210075,0.945015942907761,-0.243786827614511,-1.18880277052227,-0.0379778660246265,0.717110478754615,0.755088344779242,0.375808728703104,-0.180515412715419,-0.556324141418522
